;;;Temps;Profondeur (m);Surconsommation (%);Pression béton (bar);Vitesse d'avancement (m/h);Couple de rotation (bar);Vitesse de rotation (rev/min)
Chantier;GOLDEN GLOVER;;00:00:00;0,00;100,4;1,0;0;20,5;0,0
Contrat;60159;;00:00:00;0,00;100,4;1,0;0;20,5;0,0
Nom;P219-1;;00:00:00;0,00;100,4;1,0;0;20,5;0,0
Date début;12/02/2021 09:24:35;;00:00:00;0,00;100,4;1,0;0;20,5;0,0
Début bétonnage;12/02/2021 09:32:18;;00:00:00;0,00;100,4;1,0;0;20,5;0,0
Fin pieu;12/02/2021 09:56:08;;00:00:08;0,02;100,4;1,0;9;32,8;0,8
Diamètre pieu (mm);460;;00:00:09;0,05;100,4;1,0;254;83,2;6,0
Longueur pieu (m);26,02;;00:00:09;0,07;100,4;1,0;285;95,3;7,6
Volume béton (m3);4,932;;00:00:09;0,09;100,4;1,0;389;98,3;8,0
Surconsommation (%);13;;00:00:10;0,12;100,4;1,0;192;98,3;8,0
;;;00:00:10;0,14;100,4;1,0;730;98,6;8,0
;;;00:00:11;0,21;100,4;1,0;112;99,0;7,9
;;;00:00:11;0,23;100,4;1,0;903;96,1;7,9
;;;00:00:12;0,28;100,4;1,0;370;96,1;7,9
;;;00:00:12;0,30;100,4;1,0;450;96,1;7,9
;;;00:00:12;0,36;100,4;1,0;1046;95,0;8,0
;;;00:00:13;0,39;100,4;1,0;641;95,0;8,0
;;;00:00:13;0,42;100,4;1,0;1849;95,0;8,0
;;;00:00:13;0,45;100,4;1,0;565;94,8;8,0
;;;00:00:13;0,48;100,4;1,0;811;94,0;8,0
;;;00:00:13;0,52;100,4;1,0;620;94,0;8,0
;;;00:00:14;0,54;100,4;1,0;487;94,0;8,0
;;;00:00:14;0,57;100,4;1,0;375;93,4;7,9
;;;00:00:14;0,60;100,4;1,0;294;90,7;7,6
;;;00:00:15;0,63;100,4;1,0;292;90,7;7,6
;;;00:00:15;0,68;100,4;1,0;383;89,6;7,8
;;;00:00:15;0,71;100,4;1,0;320;88,6;8,0
;;;00:00:16;0,74;100,4;1,0;389;88,6;8,0
;;;00:00:16;0,77;100,4;1,0;633;92,3;10,0
;;;00:00:16;0,80;100,4;1,0;334;96,1;12,0
;;;00:00:17;0,84;100,4;1,0;527;96,1;12,0
;;;00:00:17;0,87;100,4;1,0;380;94,6;12,0
;;;00:00:17;0,90;100,4;1,0;414;94,0;12,0
;;;00:00:18;0,93;100,4;1,0;389;94,0;12,0
;;;00:00:18;0,96;100,4;1,0;399;93,7;12,0
;;;00:00:18;0,99;100,4;1,0;405;92,9;12,0
;;;00:00:18;1,01;100,4;1,0;487;92,9;12,0
;;;00:00:19;1,04;100,4;1,0;578;92,9;12,0
;;;00:00:19;1,06;100,4;1,0;444;95,0;12,0
;;;00:00:19;1,09;100,4;1,0;438;103,7;11,9
;;;00:00:19;1,12;100,4;1,0;317;103,7;11,9
;;;00:00:20;1,14;100,4;1,0;388;103,7;11,9
;;;00:00:20;1,17;100,4;1,0;448;111,9;15,1
;;;00:00:20;1,19;100,4;1,0;389;124,2;19,9
;;;00:00:21;1,22;100,4;1,0;447;124,2;19,9
;;;00:00:21;1,25;100,4;1,0;389;124,2;19,9
;;;00:00:21;1,27;100,4;1,0;487;123,5;20,0
;;;00:00:21;1,29;100,4;1,0;389;123,1;20,0
;;;00:00:22;1,32;100,4;1,0;380;123,1;20,0
;;;00:00:22;1,34;100,4;1,0;486;123,1;20,0
;;;00:00:22;1,37;100,4;1,0;360;121,4;19,9
;;;00:00:22;1,39;100,4;1,0;487;121,0;19,8
;;;00:00:23;1,42;100,4;1,0;389;121,0;19,8
;;;00:00:24;1,45;100,4;1,0;87;120,8;20,3
;;;00:00:24;1,50;100,4;1,0;779;116,6;19,1
;;;00:00:24;1,53;100,4;1,0;1200;116,6;19,1
;;;00:00:25;1,58;100,4;1,0;437;116,6;19,1
;;;00:00:25;1,62;100,4;1,0;527;116,6;19,4
;;;00:00:26;1,66;100,4;1,0;292;116,6;20,2
;;;00:00:26;1,69;100,4;1,0;330;116,6;20,2
;;;00:00:26;1,72;100,4;1,0;519;115,7;20,0
;;;00:00:27;1,75;100,4;1,0;263;115,6;20,0
;;;00:00:27;1,77;100,4;1,0;303;115,6;20,0
;;;00:00:27;1,80;100,4;1,0;257;114,3;20,5
;;;00:00:28;1,82;100,4;1,0;324;113,4;20,9
;;;00:00:28;1,85;100,4;1,0;335;113,4;20,9
;;;00:00:28;1,87;100,4;1,0;243;120,8;20,1
;;;00:00:29;1,89;100,4;1,0;600;122,0;19,9
;;;00:00:29;1,92;100,4;1,0;297;122,0;19,9
;;;00:00:29;1,94;100,4;1,0;377;118,8;20,0
;;;00:00:29;1,97;100,4;1,0;206;115,6;20,0
;;;00:00:30;1,99;100,4;1,0;190;115,6;20,0
;;;00:00:30;2,02;100,4;1,0;375;114,9;19,5
;;;00:00:31;2,06;100,4;1,0;420;114,5;19,1
;;;00:00:31;2,09;100,4;1,0;460;114,5;19,1
;;;00:00:31;2,11;100,4;1,0;266;115,8;19,4
;;;00:00:32;2,14;100,4;1,0;270;117,7;20,0
;;;00:00:32;2,17;100,4;1,0;246;117,7;20,0
