;;;Temps;Profondeur (m);Surconsommation (%);Pression béton (bar);Vitesse d'avancement (m/h);Couple de rotation (bar);Vitesse de rotation (rev/min)
Chantier;GOLDEN GLOVER;;00:00:00;0,00;449,6;1,1;0;2,4;0,0
Contrat;60159;;00:00:00;0,00;449,6;1,1;0;2,4;0,0
Nom;P93;;00:00:00;0,00;449,6;1,1;0;2,4;0,0
Date début;18/02/2021 08:35:49;;00:00:00;0,00;449,6;1,1;0;2,4;0,0
Début bétonnage;18/02/2021 08:45:48;;00:00:00;0,00;449,6;1,1;0;2,6;0,0
Fin pieu;18/02/2021 09:16:53;;00:00:09;0,02;449,6;1,1;7;7,8;0,3
Diamètre pieu (mm);460;;00:00:09;0,04;449,6;1,1;176;19,7;4,0
Longueur pieu (m);26,03;;00:00:19;0,07;449,6;1,1;8;39,3;9,2
Volume béton (m3);5,148;;00:00:20;0,09;449,6;1,1;141;75,9;18,0
Surconsommation (%);18;;00:00:20;0,11;449,6;1,1;389;75,9;18,0
;;;00:00:20;0,13;449,6;1,1;339;76,4;18,0
;;;00:00:21;0,16;449,6;1,1;281;77,0;18,0
;;;00:00:21;0,18;449,6;1,1;347;77,0;18,0
;;;00:00:21;0,20;449,6;1,1;272;77,8;17,8
;;;00:00:22;0,23;449,6;1,1;341;81,3;17,0
;;;00:00:22;0,25;449,6;1,1;438;81,3;17,0
;;;00:00:22;0,28;449,6;1,1;341;81,3;17,0
;;;00:00:22;0,30;449,6;1,1;422;88,8;18,0
;;;00:00:24;0,32;449,6;1,1;94;87,5;18,0
;;;00:00:31;0,34;449,6;1,1;11;74,6;18,0
;;;00:00:32;0,37;449,6;1,1;284;70,5;18,0
;;;00:00:32;0,39;449,6;1,1;272;70,5;18,0
;;;00:00:32;0,41;449,6;1,1;195;70,5;18,0
;;;00:00:33;0,43;449,6;1,1;308;73,2;18,0
;;;00:00:33;0,46;449,6;1,1;276;75,9;17,9
;;;00:00:33;0,48;449,6;1,1;264;75,9;17,9
;;;00:00:34;0,51;449,6;1,1;269;88,8;17,0
;;;00:00:34;0,53;449,6;1,1;365;88,8;17,0
