Synthèse;;;;;;;;;;;
ID;Chantier;Contrat;Nom / numéro pieu;Diamètre;Date début;Fin pieu;Durée totale;Longueur pieu;Volume béton;Surconsommation;Coups
;;;; mm;;;; m; m3; %;
85;GOLDEN GLOVER;60159;TEST ROULETTE;560;18.03.2021 15:12;18.03.2021 15:12;00:00:50;20.03;0.54;-90;15
86;GOLDEN GLOVER;60159;TEST ROULETTE;560;18.03.2021 15:03;18.03.2021 15:11;00:07:32;20;3.24;-36;90
87;GOLDEN GLOVER;60159;PG1-3;560;18.03.2021 15:02;18.03.2021 15:03;00:00:10;20;0;-100;0
88;GOLDEN GLOVER;60159;PG1-3;560;11.03.2021 10:42;11.03.2021 10:43;00:01:03;20;0.576;-100;16
89;GOLDEN GLOVER;60159;PG1-3;560;11.03.2021 10:39;11.03.2021 10:41;00:01:10;20;0.648;-88;18
90;GOLDEN GLOVER;60159;PG1-3;560;11.03.2021 10:37;11.03.2021 10:39;00:01:16;20;0.72;-87;20
91;GOLDEN GLOVER;60159;PG1-3;560;11.03.2021 10:31;11.03.2021 10:36;00:05:11;20.01;2.7;-47;75
92;GOLDEN GLOVER;60159;PG1-3;560;11.03.2021 10:25;11.03.2021 10:30;00:04:48;20.02;2.808;-43;78
93;GOLDEN GLOVER;60159;PG1-3;560;11.03.2021 10:20;11.03.2021 10:24;00:03:39;20;2.052;-60;57
94;GOLDEN GLOVER;60159;PG1-3;560;11.03.2021 10:18;11.03.2021 10:18;00:00:18;20;0;-100;0
95;GOLDEN GLOVER;60159;PG1-3;560;11.03.2021 10:12;11.03.2021 10:17;00:05:10;20;2.664;-56;74
96;GOLDEN GLOVER;60159;PG1-3;560;10.03.2021 08:43;10.03.2021 11:32;02:48:43;34.63;12.024;41;334
97;GOLDEN GLOVER;60159;PG1-1;560;09.03.2021 17:07;09.03.2021 18:01;00:54:22;34.74;10.512;23;292
98;GOLDEN GLOVER;60159;PG2-2.1;560;09.03.2021 16:14;09.03.2021 17:07;00:53:04;34.69;9.936;14;276
99;GOLDEN GLOVER;60159;PG2-2;560;09.03.2021 15:28;09.03.2021 16:13;00:45:55;34.81;0.54;-96;15
100;GOLDEN GLOVER;60159;PG1-2;560;09.03.2021 14:04;09.03.2021 15:04;01:00:17;34.61;9.864;16;274
101;GOLDEN GLOVER;60159;PG1-4;560;09.03.2021 11:52;09.03.2021 13:23;01:30:06;34.62;10.656;25;296
102;GOLDEN GLOVER;60159;PG2-1;560;09.03.2021 10:39;09.03.2021 11:22;00:42:58;34.68;10.08;18;280
103;GOLDEN GLOVER;60159;PG2-3;560;09.03.2021 08:39;09.03.2021 10:31;01:51:53;34.7;10.152;19;282
104;GOLDEN GLOVER;60159;PG2-3;560;09.03.2021 08:32;09.03.2021 08:39;00:06:59;3.02;0;-100;0
105;GOLDEN GLOVER;60159;PG2-4;560;08.03.2021 14:47;08.03.2021 16:09;01:21:58;34.29;11.88;38;330
106;GOLDEN GLOVER;60159;PC4;560;08.03.2021 13:54;08.03.2021 14:11;00:17:13;14.38;3.924;11;109
107;GOLDEN GLOVER;60159;PC5;560;08.03.2021 11:36;08.03.2021 13:53;02:16:24;12.59;3.852;9;107
108;GOLDEN GLOVER;60159;PC2;560;08.03.2021 10:53;08.03.2021 11:36;00:42:59;12.57;3.636;17;101
109;GOLDEN GLOVER;60159;PC4;560;08.03.2021 10:09;08.03.2021 10:53;00:44:40;4.39;0;-100;0
110;GOLDEN GLOVER;60159;PC3;560;08.03.2021 09:39;08.03.2021 10:08;00:29:08;12.58;3.348;8;93
111;GOLDEN GLOVER;60159;PC1;560;08.03.2021 08:03;08.03.2021 09:31;01:27:36;12.55;3.204;4;89
112;GOLDEN GLOVER;60159;P208;460;05.03.2021 14:06;05.03.2021 14:30;00:23:38;26.03;5.4;20;150
