N°pieu;y Coordonnees;x Coordonnees;"Diametre de
forage (mm/mm)";"Niveau
Recepage (msm)";"Niveau
Fondpieu (msm)";"Longueur
beton (m)";CageType;"NiveauArm
Sup (msm)";"Longueur
cages (m)";
P001;2498772.489;1114367.799;420/620;393.01;373.30;19.71;1;393.71;20.41;
P002;2498775.368;1114369.79;420/620;393.01;373.30;19.71;1;393.71;20.41;
P003;2498778.246;1114371.781;420/620;393.21;373.30;19.91;2;393.91;20.61;
P004;2498781.125;1114373.772;420/620;393.21;373.30;19.91;2;393.91;20.61;
POOS;2498784.003;1114375.763;420/620;393.21;373.30;19.91;2;393.91;20.61;
P006;2498786.882;1114377.754;420/620;393.21;373.30;19.91;2;393.91;20.61;
P007;2498789.76;1114379.745;420/620;393.21;373.30;19.91;2;393.91;20.61;
P008;2498792.639;1114381.736;420/620;393.21;373.30;19.91;2;393.91;20.61;
P009;2498795.517;1114383.727;420/620;393.21;373.30;19.91;2;393.91;20.61;
P010;2498798.396;1114385.718;420/620;393.21;373.30;19.91;2;393.91;20.61;
P011;2498801.274;1114387.709;420/620;393.21;373.30;19.91;2;393.91;20.61;
P012;2498804.153;1114389.7;420/620;393.21;373.30;19.91;2;393.91;20.61;
P013;2498807.032;1114391.691;420/620;393.21;373.30;19.91;2;393.91;20.61;
P014;2498809.91;1114393.682;420/620;393.21;373.30;19.91;2;393.91;20.61;
P015;2498812.789;1114395.673;420/620;393.21;373.30;19.91;2;393.91;20.61;
P016;2498815.667;1114397.664;420/620;393.21;373.30;19.91;2;393.91;20.61;
P017;2498818.546;1114399.655;420/620;393.21;373.30;19.91;2;393.91;20.61;
P018;2498821.424;1114401.646;420/620;393.21;373.30;19.91;2;393.91;20.61;
P019;2498824.303;1114403.638;420/620;393.21;373.30;19.91;2;393.91;20.61;
P020;2498827.181;1114405.629;420/620;393.21;373.30;19.91;2;393.91;20.61;
P021;2498830.06;1114407.62;420/620;393.21;373.30;19.91;2;393.91;20.61;
P022;2498774.48;1114364.92;420/620;393.01;373.30;19.71;1;393.71;20.41;
P023;2498777.359;1114366.911;420/620;393.01;373.30;19.71;1;393.71;20.41;
P024;2498780.237;1114368.902;420/620;393.21;373.30;19.91;2;393.91;20.61;
P025;2498783.116;1114370.894;420/620;393.21;373.30;19.91;2;393.91;20.61;
P026;2498785.995;1114372.885;420/620;393.21;373.30;19.91;2;393.91;20.61;
P027;2498788.873;1114374.876;420/620;393.21;373.30;19.91;2;393.91;20.61;
P028;2498791.752;1114376.867;420/620;393.21;373.30;19.91;2;393.91;20.61;
P029;2498794.63;1114378.858;420/620;393.21;373.30;19.91;2;393.91;20.61;
P030;2498797.509;1114380.849;420/620;393.21;373.30;19.91;2;393.91;20.61;
P031;2498800.387;1114382.84;420/620;393.21;373.30;19.91;2;393.91;20.61;
P032;2498803.266;1114384.831;420/620;393.21;373.30;19.91;2;393.91;20.61;
P033;2498806.144;1114386.822;420/620;393.21;373.30;19.91;2;393.91;20.61;
P034;2498809.023;1114388.813;420/620;393.21;373.30;19.91;2;393.91;20.61;
P035;2498811.901;1114390.804;420/620;393.21;373.30;19.91;2;393.91;20.61;
P036;2498814.78;1114392.795;420/620;393.21;373.30;19.91;2;393.91;20.61;
P037;2498817.658;1114394.786;420/620;393.21;373.30;19.91;2;393.91;20.61;
P038;2498820.537;1114396.777;420/620;393.21;373.30;19.91;2;393.91;20.61;
P039;2498823.415;1114398.768;420/620;393.21;373.30;19.91;2;393.91;20.61;
P040;2498826.294;1114400.759;420/620;393.21;373.3;19.91;2;393.91;20.61;
P041;2498829.172;1114402.75;420/620;393.21;373.30;19.91;2;393.91;20.61;
P042;2498832.051;1114404.741;420/620;393.21;373.30;19.91;2;393.91;20.61;
P043;2498776.06;1114362.232;420/620;393.01;373.30;19.71;1;393.71;20.41;
P044;2498778.116;1114363.654;420/620;393.01;373.30;19.71;1;393.71;20.41;
P045;2498780.173;1114365.076;420/620;393.01;373.30;19.71;1;393.71;20.41;
P046;2498782.229;1114366.498;420/620;393.01;373.30;19.71;1;393.71;20.41;
P047;2498784.285;1114367.921;420/620;393.01;373.30;19.71;1;393.71;20.41;
P048;2498786.341;1114369.343;420/620;393.01;373.30;19.71;1;393.71;20.41;
P049;2498788.397;1114370.765;420/620;393.01;373.30;19.71;1;393.71;20.41;
POSO;2498790.712;1114372.366;420/620;393.01;373.30;19.71;1;393.71;20.41;
P051;2498792.768;1114373.788;420/620;393.01;373.30;19.71;1;393.71;20.41;
P052;2498794.824;1114375.211;420/620;393.01;373.30;19.71;1;393.71;20.41;
P053;2498796.88;1114376.633;420/620;393.01;373.30;19.71;1;393.71;20.41;
P054;2498798.936;1114378.055;420/620;393.01;373.30;19.71;1;393.71;20.41;
POSS;2498800.992;1114379.477;420/620;393.01;373.30;19.71;1;393.71;20.41;
P056;2498803.048;1114380.899;420/620;393.01;373.30;19.71;1;393.71;20.41;
P057;2498805.105;1114382.321;420/620;393.01;373.30;19.71;1;393.71;20.41;
P058;2498807.161;1114383.744;420/620;393.01;373.30;19.71;1;393.71;20.41;
P059;2498809.217;1114385.166;420/620;393.01;373.30;19.71;1;393.71;20.41;
P060;2498811.532;1114386.767;420/620;393.01;373.30;19.71;1;393.71;20.41;
P061;2498813.588;1114388.189;420/620;393.01;373.30;19.71;1;393.71;20.41;
P062;2498815.644;1114389.611;420/620;393.01;373.30;19.71;1;393.71;20.41;
P063;2498817.7;1114391.034;420/620;393.01;373.30;19.71;1;393.71;20.41;
P064;2498819.756;1114392.456;420/620;393.01;373.30;19.71;1;393.71;20.41;
P065;2498821.812;1114393.878;420/620;393.01;373.30;19.71;1;393.71;20.41;
P066;2498823.868;1114395.3;420/620;393.01;373.30;19.71;1;393.71;20.41;
P067;2498825.924;1114396.722;420/620;393.01;373.30;19.71;1;393.71;20.41;
P068;2498827.98;1114398.144;420/620;393.01;373.30;19.71;1;393.71;20.41;
P069;2498830.036;1114399.567;420/620;393.01;373.30;19.71;1;393.71;20.41;
P070;2498832.093;1114400.989;420/620;393.01;373.30;19.71;1;393.71;20.41;
P071;2498834.149;1114402.411;420/620;393.01;373.30;19.71;1;393.71;20.41;
P072;2498777.483;1114360.176;420/620;393.01;373.30;19.71;1;393.71;20.41;
P073;2498779.539;1114361.598;420/620;393.01;373.30;19.71;1;393.71;20.41;
P074;2498781.595;1114363.02;420/620;393.01;373.30;19.71;1;393.71;20.41;
P075;2498783.651;1114364.442;420/620;393.01;373.30;19.71;1;393.71;20.41;
P076;2498785.707;1114365.864;420/620;393.01;373.30;19.71;1;393.71;20.41;
P077;2498787.763;1114367.287;420/620;393.01;373.30;19.71;1;393.71;20.41;
P078;2498789.819;1114368.709;420/620;393.01;373.30;19.71;1;393.71;20.41;
P079;2498792.134;1114370.31;420/620;393.01;373.30;19.71;1;393.71;20.41;
P080;2498794.19;1114371.732;420/620;393.01;373.30;19.71;1;393.71;20.41;
P081;2498796.246;1114373.154;420/620;393.01;373.30;19.71;1;393.71;20.41;
P082;2498798.302;1114374.577;420/620;393.01;373.30;19.71;1;393.71;20.41;
P083;2498800.359;1114375.999;420/620;393.01;373.30;19.71;1;393.71;20.41;
P084;2498802.415;1114377.421;420/620;391.91;373.30;18.61;3;392.61;19.31;
POSS;2498804.471;1114378.843;420/620;393.01;373.30;19.71;1;393.71;20.41;
P086;2498806.527;1114380.265;420/620;393.01;373.30;19.71;1;393.71;20.41;
P087;2498808.583;1114381.687;420/620;393.01;373.30;19.71;1;393.71;20.41;
P088;2498810.639;1114383.11;420/620;393.01;373.30;19.71;1;393.71;20.41;
P089;2498812.954;1114384.711;420/620;393.01;373.30;19.71;1;393.71;20.41;
P090;2498815.01;1114386.133;420/620;393.01;373.30;19.71;1;393.71;20.41;
P091;2498817.066;1114387.555;420/620;393.01;373.30;19.71;1;393.71;20.41;
P092;2498819.122;1114388.977;420/620;393.01;373.30;19.71;1;393.71;20.41;
P093;2498821.178;1114390.4;420/620;393.01;373.30;19.71;1;393.71;20.41;
P094;2498823.234;1114391.822;420/620;393.01;373.30;19.71;1;393.71;20.41;
P095;2498825.291;1114393.244;420/620;393.01;373.30;19.71;1;393.71;20.41;
P096;2498827.347;1114394.666;420/620;393.01;373.30;19.71;1;393.71;20.41;
P097;2498829.403;1114396.088;420/620;393.01;373.30;19.71;1;393.71;20.41;
P098;2498831.459;1114397.51;420/620;393.01;373.30;19.71;1;393.71;20.41;
P099;2498833.515;1114398.933;420/620;393.01;373.30;19.71;1;393.71;20.41;
P100;2498835.571;1114400.355;420/620;393.01;373.30;19.71;1;393.71;20.41;
P101;2498778.905;1114358.12;420/620;393.01;373.30;19.71;1;393.71;20.41;
P102;2498780.961;1114359.542;420/620;393.01;373.30;19.71;1;393.71;20.41;
P103;2498783.017;1114360.964;420/620;393.01;373.30;19.71;1;393.71;20.41;
P104;2498785.073;1114362.386;420/620;393.01;373.30;19.71;1;393.71;20.41;
P105;2498787.129;1114363.808;420/620;391.91;373.30;18.61;3;392.61;19.31;
P106;2498789.185;1114365.23;420/620;393.01;373.30;19.71;1;393.71;20.41;
P107;2498791.241;1114366.653;420/620;393.01;373.30;19.71;1;393.71;20.41;
P108;2498793.556;1114368.254;420/620;393.01;373.30;19.71;1;393.71;20.41;
P109;2498795.612;1114369.676;420/620;393.01;373.30;19.71;1;393.71;20.41;
P110;2498797.669;1114371.098;420/620;393.01;373.30;19.71;1;393.71;20.41;
P111;2498799.725;1114372.521;420/620;393.01;373.30;19.71;1;393.71;20.41;
P112;2498801.781;1114373.943;420/620;393.01;373.30;19.71;1;393.71;20.41;
P113;2498803.837;1114375.365;420/620;391.91;373.30;18.61;3;392.61;19.31;
P114;2498805.893;1114376.787;420/620;393.01;373.30;19.71;1;393.71;20.41;
P115;2498807.949;1114378.209;420/620;393.01;373.30;19.71;1;393.71;20.41;
P116;2498810.005;1114379.631;420/620;393.01;373.30;19.71;1;393.71;20.41;
P117;2498812.061;1114381.054;420/620;393.01;373.30;19.71;1;393.71;20.41;
P118;2498814.376;1114382.655;420/620;393.01;373.30;19.71;1;393.71;20.41;
P119;2498816.432;1114384.077;420/620;393.01;373.30;19.71;1;393.71;20.41;
P120;2498818.488;1114385.499;420/620;393.01;373.30;19.71;1;393.71;20.41;
P121;2498820.544;1114386.921;420/620;393.01;373.30;19.71;1;393.71;20.41;
P122;2498822.601;1114388.344;420/620;393.01;373.30;19.71;1;393.71;20.41;
P123;2498824.657;1114389.766;420/620;393.01;373.30;19.71;1;393.71;20.41;
P124;2498826.713;1114391.188;420/620;391.91;373.30;18.61;3;392.61;19.31;
P125;2498828.769;1114392.61;420/620;393.01;373.30;19.71;1;393.71;20.41;
P126;2498830.825;1114394.032;420/620;393.01;373.30;19.71;1;393.71;20.41;
P127;2498832.881;1114395.454;420/620;393.01;373.30;19.71;1;393.71;20.41;
P128;2498834.937;1114396.877;420/620;393.01;373.30;19.71;1;393.71;20.41;
P129;2498836.993;1114398.299;420/620;393.01;373.30;19.71;1;393.71;20.41;
P130;2498780.327;1114356.064;420/620;393.01;373.30;19.71;1;393.71;20.41;
P131;2498782.383;1114357.486;420/620;393.01;373.30;19.71;1;393.71;20.41;
P132;2498784.439;1114358.908;420/620;393.01;373.30;19.71;1;393.71;20.41;
P133;2498786.495;1114360.33;420/620;393.01;373.30;19.71;1;393.71;20.41;
P134;2498788.551;1114361.752;420/620;393.01;373.30;19.71;1;393.71;20.41;
P135;2498790.607;1114363.174;420/620;393.01;373.30;19.71;1;393.71;20.41;
P136;2498792.663;1114364.597;420/620;393.01;373.30;19.71;1;393.71;20.41;
P137;2498794.979;1114366.198;420/620;393.01;373.30;19.71;1;393.71;20.41;
P138;2498797.035;1114367.62;420/620;393.01;373.30;19.71;1;393.71;20.41;
P139;2498799.091;1114369.042;420/620;393.01;373.30;19.71;1;393.71;20.41;
P140;2498801.147;1114370.464;420/620;393.01;373.30;19.71;1;393.71;20.41;
P141;2498803.203;1114371.887;420/620;393.01;373.30;19.71;1;393.71;20.41;
P142;2498805.259;1114373.309;420/620;393.01;373.30;19.71;1;393.71;20.41;
P143;2498807.315;1114374.731;420/620;393.01;373.30;19.71;1;393.71;20.41;
P144;2498809.371;1114376.153;420/620;393.01;373.30;19.71;1;393.71;20.41;
P145;2498811.427;1114377.575;420/620;393.01;373.30;19.71;1;393.71;20.41;
P146;2498813.483;1114378.997;420/620;393.01;373.30;19.71;1;393.71;20.41;
P147;2498815.798;1114380.599;420/620;393.01;373.30;19.71;1;393.71;20.41;
P148;2498817.854;1114382.021;420/620;393.01;373.30;19.71;1;393.71;20.41;
P149;2498819.911;1114383.443;420/620;393.01;373.30;19.71;1;393.71;20.41;
P150;2498821.967;1114384.865;420/620;393.01;373.30;19.71;1;393.71;20.41;
P151;2498824.023;1114386.287;420/620;393.01;373.30;19.71;1;393.71;20.41;
P152;2498826.079;1114387.71;420/620;393.01;373.30;19.71;1;393.71;20.41;
P153;2498828.135;1114389.132;420/620;393.01;373.30;19.71;1;393.71;20.41;
P154;2498830.191;1114390.554;420/620;393.01;373.30;19.71;1;393.71;20.41;
P155;2498832.247;1114391.976;420/620;393.01;373.30;19.71;1;393.71;20.41;
P156;2498834.303;1114393.398;420/620;393.01;373.30;19.71;1;393.71;20.41;
P157;2498836.359;1114394.82;420/620;393.01;373.30;19.71;1;393.71;20.41;
P158;2498838.415;1114396.243;420/620;393.01;373.30;19.71;1;393.71;20.41;
P159;2498781.749;1114354.008;420/620;393.01;373.30;19.71;1;393.71;20.41;
P160;2498783.805;1114355.43;420/620;393.01;373.30;19.71;1;393.71;20.41;
P161;2498785.861;1114356.852;420/620;393.01;373.30;19.71;1;393.71;20.41;
P162;2498787.917;1114358.274;420/620;393.01;373.30;19.71;1;393.71;20.41;
P163;2498789.973;1114359.696;420/620;393.01;373.30;19.71;1;393.71;20.41;
P164;2498792.03;1114361.118;420/620;393.01;373.30;19.71;1;393.71;20.41;
P165;2498794.086;1114362.541;420/620;393.01;373.30;19.71;1;393.71;20.41;
P166;2498796.401;1114364.142;420/620;393.01;373.30;19.71;1;393.71;20.41;
P167;2498798.457;1114365.564;420/620;393.01;373.30;19.71;1;393.71;20.41;
P168;2498800.513;1114366.986;420/620;393.01;373.30;19.71;1;393.71;20.41;
P169;2498802.569;1114368.408;420/620;393.01;373.30;19.71;1;393.71;20.41;
P170;2498804.625;1114369.831;420/620;393.01;373.30;19.71;1;393.71;20.41;
P171;2498806.681;1114371.253;420/620;393.01;373.30;19.71;1;393.71;20.41;
P172;2498808.737;1114372.675;420/620;393.01;373.30;19.71;1;393.71;20.41;
P173;2498810.793;1114374.097;420/620;393.01;373.30;19.71;1;393.71;20.41;
P174;2498812.849;1114375.519;420/620;393.01;373.30;19.71;1;393.71;20.41;
P175;2498814.905;1114376.941;420/620;393.01;373.30;19.71;1;393.71;20.41;
P176;2498817.221;1114378.543;420/620;393.01;373.30;19.71;1;393.71;20.41;
P177;2498819.277;1114379.965;420/620;393.01;373.30;19.71;1;393.71;20.41;
P178;2498821.333;1114381.387;420/620;393.01;373.30;19.71;1;393.71;20.41;
P179;2498823.389;1114382.809;420/620;393.01;373.30;19.71;1;393.71;20.41;
P180;2498825.445;1114384.231;420/620;393.01;373.30;19.71;1;393.71;20.41;
P181;2498827.501;1114385.654;420/620;393.01;373.30;19.71;1;393.71;20.41;
P182;2498829.557;1114387.076;420/620;393.01;373.30;19.71;1;393.71;20.41;
P183;2498831.613;1114388.498;420/620;393.01;373.30;19.71;1;393.71;20.41;
P184;2498833.669;1114389.92;420/620;393.01;373.30;19.71;1;393.71;20.41;
P185;2498835.725;1114391.342;420/620;393.01;373.30;19.71;1;393.71;20.41;
P186;2498837.781;1114392.764;420/620;393.01;373.30;19.71;1;393.71;20.41;
P187;2498839.837;1114394.187;420/620;393.01;373.30;19.71;1;393.71;20.41;
P188;2498783.417;1114352;420/620;393.01;373.30;19.71;1;393.71;20.41;
P189;2498786.296;1114353.991;420/620;393.01;373.30;19.71;1;393.71;20.41;
P190;2498789.174;1114355.982;420/620;393.01;373.30;19.71;1;393.71;20.41;
P191;2498791.642;1114357.689;420/620;393.01;373.30;19.71;1;393.71;20.41;
P192;2498795.565;1114360.402;420/620;393.01;373.30;19.71;1;393.71;20.41;
P193;2498797.81;1114361.955;420/620;393.01;373.30;19.71;1;393.71;20.41;
P194;2498800.688;1114363.946;420/620;393.01;373.30;19.71;1;393.71;20.41;
P195;2498803.567;1114365.937;420/620;393.01;373.30;19.71;1;393.71;20.41;
P196;2498806.445;1114367.928;420/620;393.01;373.30;19.71;1;393.71;20.41;
P197;2498809.324;1114369.919;420/620;393.01;373.30;19.71;1;393.71;20.41;
P198;2498812.202;1114371.91;420/620;393.01;373.30;19.71;1;393.71;20.41;
P199;2498815.081;1114373.902;420/620;393.01;373.30;19.71;1;393.71;20.41;
P200;2498818.7;1114376.405;420/620;393.01;373.30;19.71;1;393.71;20.41;
P201;2498821.784;1114378.538;420/620;393.01;373.30;19.71;1;393.71;20.41;
P202;2498824.868;1114380.671;420/620;393.01;373.30;19.71;1;393.71;20.41;
P203;2498827.171;1114382.264;420/620;393.01;373.30;19.71;1;393.71;20.41;
P204;2498829.473;1114383.857;420/620;393.01;373.30;19.71;1;393.71;20.41;
P205;2498832.352;1114385.848;420/620;393.01;373.30;19.71;1;393.71;20.41;
P206;2498835.23;1114387.839;420/620;393.01;373.30;19.71;1;393.71;20.41;
P207;2498788.452;1114350.874;420/620;393.01;373.30;19.71;1;393.71;20.41;
P208;2498791.33;1114352.865;420/620;393.01;373.30;19.71;1;393.71;20.41;
P209;2498794.209;1114354.856;420/620;393.01;373.30;19.71;1;393.71;20.41;
P210;2498797.087;1114356.847;420/620;393.21;373.30;19.91;2;393.91;20.61;
P211;2498799.966;1114358.838;420/620;393.21;373.30;19.91;2;393.91;20.61;
P212;2498802.844;1114360.829;420/620;393.21;373.30;19.91;2;393.91;20.61;
P213;2498805.723;1114362.82;420/620;393.21;373.30;19.91;2;393.91;20.61;
P214;2498808.601;1114364.811;420/620;393.21;373.30;19.91;2;393.91;20.61;
P215;2498811.48;1114366.802;420/620;393.21;373.30;19.91;2;393.91;20.61;
P216;2498814.358;1114368.793;420/620;393.21;373.30;19.91;2;393.91;20.61;
P217;2498817.237;1114370.784;420/620;393.21;373.30;19.91;2;393.91;20.61;
P218;2498820.115;1114372.775;420/620;393.21;373.30;19.91;2;393.91;20.61;
P219;2498822.994;1114374.766;420/620;393.21;373.30;19.91;2;393.91;20.61;
P220;2498825.872;1114376.757;420/620;393.21;373.30;19.91;2;393.91;20.61;
P221;2498828.751;1114378.749;420/620;393.21;373.30;19.91;2;393.91;20.61;
P222;2498831.629;1114380.74;420/620;393.21;373.30;19.91;2;393.91;20.61;
P223;2498834.508;1114382.731;420/620;393.21;373.30;19.91;2;393.91;20.61;
P224;2498837.386;1114384.722;420/620;393.21;373.30;19.91;2;393.91;20.61;
P225;2498790.831;1114346.732;420/620;395.78;373.30;22.48;4;396.48;23.18;
P226;2498792.887;1114348.154;420/620;395.78;373.30;22.48;4;396.48;23.18;
P227;2498794.943;1114349.576;420/620;395.78;373.30;22.48;4;396.48;23.18;
P228;2498796.999;1114350.998;420/620;395.78;373.30;22.48;4;396.48;23.18;
P229;2498799.055;1114352.42;420/620;395.78;373.30;22.48;4;396.48;23.18;
P230;2498810.651;1114360.441;420/620;395.78;373.30;22.48;4;396.48;23.18;
P231;2498812.707;1114361.864;420/620;395.78;373.30;22.48;4;396.48;23.18;
P232;2498814.763;1114363.286;420/620;395.78;373.30;22.48;4;396.48;23.18;
P233;2498816.819;1114364.708;420/620;395.78;373.30;22.48;4;396.48;23.18;
P234;2498818.876;1114366.13;420/620;395.78;373.30;22.48;4;396.48;23.18;
P235;2498820.932;1114367.552;420/620;395.78;373.30;22.48;4;396.48;23.18;
P236;2498832.528;1114375.573;420/620;395.78;373.30;22.48;4;396.48;23.18;
P237;2498834.584;1114376.995;420/620;395.78;373.30;22.48;4;396.48;23.18;
P238;2498836.64;1114378.418;420/620;395.78;373.30;22.48;4;396.48;23.18;
P239;2498838.696;1114379.84;420/620;395.78;373.30;22.48;4;396.48;23.18;
P240;2498840.752;1114381.262;420/620;395.78;373.30;22.48;4;396.48;23.18;
PG1-1;2498833.494;1114371.507;520/720;396.18;364.30;31.88;G;396.53;32.23;
PG1-2;2498837.195;1114374.067;520/720;396.18;364.30;31.88;G;396.53;32.23;
PG1-3;2498839.755;1114370.366;520/720;396.18;364.30;31.88;G;396.53;32.23;
PG1-4;2498836.054;1114367.806;520/720;396.18;364.30;31.88;G;396.53;32.23;
PG2-1;2498792.548;1114343.186;520/720;396.18;364.30;31.88;G;396.53;32.23;
PG2-2;2498796.249;1114345.746;520/720;396.18;364.30;31.88;G;396.53;32.23;
PG2-3;2498798.809;1114342.045;520/720;396.18;364.30;31.88;G;396.53;32.23;
PG2-4;2498795.108;1114339.485;520/720;396.18;364.30;31.88;G;396.53;32.23;
