,NR_Pieu,y Coordonnees,x Coordonnees,"Diametre de
forage (mm/mm)","Niveau
Recepage (msm)","Niveau
Fondpieu (msm)","Longueur
beton (m)",CageType,"NiveauArm
Sup (msm)","Longueur
cages (m)",Unnamed: 10,latitude_WGS84,longitude_WGS84
0,P001,2498772.489,1114367.799,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.17317112167931,6.127820703279763
1,P002,2498775.3680000002,1114369.79,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.17318946181152,6.127857546342472
2,P003,2498778.246,1114371.781,420/620,393.21,373.3,19.91,2,393.91,20.61,,46.173207801781494,6.127894376483242
3,P004,2498781.125,1114373.772,420/620,393.21,373.3,19.91,2,393.91,20.61,,46.17322614188971,6.127931219595567
4,POOS,2498784.003,1114375.763,420/620,393.21,373.3,19.91,2,393.91,20.61,,46.173244481835695,6.127968049785952
5,P006,2498786.8819999998,1114377.754,420/620,393.21,373.3,19.91,2,393.91,20.61,,46.17326282191994,6.128004892947889
6,P007,2498789.76,1114379.745,420/620,393.21,373.3,19.91,2,393.91,20.61,,46.173281161841984,6.1280417231878825
7,P008,2498792.639,1114381.736,420/620,393.21,373.3,19.91,2,393.91,20.61,,46.17329950190224,6.128078566399443
8,P009,2498795.517,1114383.727,420/620,393.21,373.3,19.91,2,393.91,20.61,,46.173317841800305,6.128115396689045
9,P010,2498798.3959999997,1114385.7179999999,420/620,393.21,373.3,19.91,2,393.91,20.61,,46.17333618183661,6.128152239950217
10,P011,2498801.274,1114387.709,420/620,393.21,373.3,19.91,2,393.91,20.61,,46.1733545217107,6.128189070289434
11,P012,2498804.153,1114389.7,420/620,393.21,373.3,19.91,2,393.91,20.61,,46.17337286172302,6.128225913600224
12,P013,2498807.0319999997,1114391.6909999999,420/620,393.21,373.3,19.91,2,393.91,20.61,,46.17339120172334,6.128262756935824
13,P014,2498809.91,1114393.682,420/620,393.21,373.3,19.91,2,393.91,20.61,,46.17340954156148,6.128299587349458
14,P015,2498812.789,1114395.673,420/620,393.21,373.3,19.91,2,393.91,20.61,,46.173427881537826,6.128336430734675
15,P016,2498815.667,1114397.664,420/620,393.21,373.3,19.91,2,393.91,20.61,,46.173446221352,6.128373261197911
16,P017,2498818.546,1114399.655,420/620,393.21,373.3,19.91,2,393.91,20.61,,46.17346456130438,6.128410104632753
17,P018,2498821.424,1114401.646,420/620,393.21,373.3,19.91,2,393.91,20.61,,46.17348290109459,6.128446935145598
18,P019,2498824.3030000003,1114403.638,420/620,393.21,373.3,19.91,2,393.91,20.61,,46.17350125001726,6.128483778413901
19,P020,2498827.181,1114405.629,420/620,393.21,373.3,19.91,2,393.91,20.61,,46.17351958978348,6.128520608976354
20,P021,2498830.06,1114407.62,420/620,393.21,373.3,19.91,2,393.91,20.61,,46.17353792968791,6.128557452510438
21,P022,2498774.48,1114364.92,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.17314552628417,6.127847102837077
22,P023,2498777.359,1114366.9109999998,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.17316386640772,6.127883945891388
23,P024,2498780.2369999997,1114368.902,420/620,393.21,373.3,19.91,2,393.91,20.61,,46.173182206369056,6.127920776023767
24,P025,2498783.116,1114370.894,420/620,393.21,373.3,19.91,2,393.91,20.61,,46.1732005554629,6.12795761891145
25,P026,2498785.995,1114372.885,420/620,393.21,373.3,19.91,2,393.91,20.61,,46.173218895550455,6.127994462040196
26,P027,2498788.873,1114374.876,420/620,393.21,373.3,19.91,2,393.91,20.61,,46.17323723547584,6.1280312922470035
27,P028,2498791.752,1114376.867,420/620,393.21,373.3,19.91,2,393.91,20.61,,46.17325557553943,6.12806813542536
28,P029,2498794.63,1114378.858,420/620,393.21,373.3,19.91,2,393.91,20.61,,46.17327391544084,6.128104965681776
29,P030,2498797.509,1114380.8490000002,420/620,393.21,373.3,19.91,2,393.91,20.61,,46.17329225548045,6.128141808909756
30,P031,2498800.387,1114382.84,420/620,393.21,373.3,19.91,2,393.91,20.61,,46.1733105953579,6.12817863921578
31,P032,2498803.266,1114384.831,420/620,393.21,373.3,19.91,2,393.91,20.61,,46.17332893537353,6.128215482493373
32,P033,2498806.144,1114386.822,420/620,393.21,373.3,19.91,2,393.91,20.61,,46.173347275227,6.128252312849005
33,P034,2498809.023,1114388.813,420/620,393.21,373.3,19.91,2,393.91,20.61,,46.17336561521868,6.128289156176222
34,P035,2498811.901,1114390.804,420/620,393.21,373.3,19.91,2,393.91,20.61,,46.17338395504818,6.128325986581465
